"","lon","lat"
"360",-89.5889864,40.6936488
"361",-119.4179324,36.778261
"362",-74.4056612,40.0583238
"363",-117.9608978,34.0852868
"364",-85.1393513,41.079273
"365",-73.087749,41.6032207
"366",-85.323214,51.253775
"367",-99.9018131,31.9685988
"368",-85.6023643,44.3148443
"369",-74.0059728,40.7127753
"370",-99.9018131,31.9685988
"371",-99.9018131,31.9685988
"372",-71.2079809,46.8138783
"373",5.291266,52.132633
"374",-86.4466599,36.3883809
"375",-83.8605332,33.5967024
"376",-117.8442962,33.6404952
"377",-79.9958864,40.4406248
"378",-78.792272,42.9790067
"379",-90.0715323,29.9510658
"380",-74.0059728,40.7127753
"381",-87.6297982,41.8781136
"382",-95.7150582,37.0901287
"383",5.291266,52.132633
"384",5.291266,52.132633
"385",-97.1080656,32.735687
"386",-86.158068,39.768403
"387",-100.2908632,25.9662105
"388",-99.133208,19.4326077
"389",-74.0059728,40.7127753
"390",-84.2829784,33.3870578
"391",-97.8280543,28.0944558
"392",-94.5785667,39.0997265
"393",-76.6412712,39.0457549
"394",-118.2436849,34.0522342
"395",-89.3985283,32.3546679
"396",-118.2436849,34.0522342
"397",-95.6143316,37.039147
"398",-95.712891,37.09024
"399",-122.5697032,38.1074198
"400",-86.7816016,36.1626638
"401",-83.0457538,42.331427
"402",-71.1061639,42.4184296
"403",-95.712891,37.09024
"404",-77.0368707,38.9071923
"405",-78.6568942,37.4315734
"406",-117.9188221,33.6412156
"407",-74.4056612,40.0583238
"408",-95.712891,37.09024
"409",-110.9747108,32.2226066
"410",-0.1067255,52.4492262
"411",-95.712891,37.09024
"412",-122.2913078,37.8271784
"413",-90.4611995,30.5043583
"414",-90.4611995,30.5043583
"415",-95.712891,37.09024
"416",-88.0398912,30.6953657
"417",-103.3496092,20.6596988
"418",-112.0740373,33.4483771
"419",-75.1652215,39.9525839
"420",NA,NA
"421",-97.7430608,30.267153
"422",-87.6297982,41.8781136
"423",-100.0170787,37.7527982
"424",-78.6568942,37.4315734
"425",-75.5993692,38.3606736
"426",-74.0059728,40.7127753
"427",19.5033041,47.162494
"428",-91.6656232,41.9778795
"429",-77.8548814,45.0558574
"430",-119.4179324,36.778261
"431",-71.0588801,42.3600825
"432",-109.5850926,33.9106043
"433",-109.5850926,33.9106043
"434",-84.4965363,33.8270552
"435",-120.7401385,47.7510741
"436",-120.7401385,47.7510741
"437",-80.7645239,41.1017247
"438",-90.1994042,38.6270025
"439",-95.712891,37.09024
"440",-111.8314724,33.4151843
"441",-122.121512,47.6739881
"442",-86.7816016,36.1626638
"443",-95.712891,37.09024
"444",-73.9184261,40.81767
"445",-120.5542012,43.8041334
"446",-86.7816016,36.1626638
"447",-106.346771,56.130366
"448",-80.2320276,38.9939872
"449",-122.6587185,45.5122308
"450",-95.712891,37.09024
"451",-95.712891,37.09024
"452",-121.2907796,37.9577016
"453",-91.1871466,30.4514677
"454",-81.5157535,27.6648274
"455",-81.5157535,27.6648274
"456",-81.5157535,27.6648274
"457",-95.712891,37.09024
"458",-95.712891,37.09024
"459",-95.712891,37.09024
"460",-95.712891,37.09024
"461",-81.7229086,41.4047742
"462",-81.7229086,41.4047742
"463",-85.6023643,44.3148443
"464",-106.346771,56.130366
"465",-81.6762392,41.3953304
"466",-80.4549026,38.5976262
"467",-122.5475467,45.7806939
"468",-117.9988026,33.6594835
"469",-95.712891,37.09024
"470",-80.1917902,25.7616798
"471",-76.9199742,40.2398118
"472",-149.4936733,64.2008413
"473",-75.977985,36.8529263
"474",-70.7994946,43.0761659
"475",-78.6381787,35.7795897
"476",-74.0059728,40.7127753
"477",-74.0059728,40.7127753
"478",-74.0059728,40.7127753
"479",-74.0059728,40.7127753
"480",-74.0059728,40.7127753
"481",-74.0059728,40.7127753
"482",-74.0059728,40.7127753
"483",-95.7243335,37.2321077
"484",-77.297508,18.109581
"485",-77.297508,18.109581
"486",-77.297508,18.109581
"487",-102.0779146,31.9973456
"488",-93.097702,41.8780025
"489",-93.0899578,44.9537029
"490",-89.3985283,32.3546679
"491",-122.4077498,37.654656
"492",-71.0588801,42.3600825
"493",-120.5542012,43.8041334
"494",-94.5812997,39.0981947
"495",-94.5812997,39.0981947
"496",-86.8752869,40.4167022
"497",-77.0368707,38.9071923
"498",-95.712891,37.09024
"499",-74.0059728,40.7127753
"500",-106.0019618,39.2247125
"501",-81.091203,32.0808989
"502",-115.1398296,36.1699412
"503",-76.6121893,39.2903848
"504",0.4690888,51.7343313
"505",-122.8755949,42.3265152
"506",-91.8318334,37.9642529
"507",-90.0489801,35.1495343
"508",-78.8294768,42.7158927
"509",-84.3879824,33.7489954
"510",-79.9958864,40.4406248
"511",-79.9958864,40.4406248
"512",-79.9958864,40.4406248
"513",-86.5263857,39.165325
"514",-99.5192984,27.4445691
"515",-84.3640829,33.7589188
"516",-73.9678058,40.7109348
"517",-79.3831843,43.653226
"518",-79.3831843,43.653226
"519",-114.7420408,44.0682019
"520",-76.6121893,39.2903848
"521",-82.0354225,41.4517093
"522",-73.9594438,40.7144279
"523",-76.5104973,43.4553461
"524",-73.134961,40.789142
"525",-97.3307658,32.7554883
"526",-82.907123,40.4172871
"527",NA,NA
"528",-82.9000751,32.1656221
"529",-82.9000751,32.1656221
"530",-121.9552356,37.3541079
"531",-119.4179324,36.778261
"532",-82.4571776,27.950575
"533",-106.346771,56.130366
"534",-97.7430608,30.267153
"535",-97.7430608,30.267153
"536",-83.6874562,43.0125274
"537",-73.087749,41.6032207
"538",-81.3792365,28.5383355
"539",-93.4707923,46.138011
"540",-117.1825381,34.0555693
"541",-77.0154688,38.7854295
"542",-81.3792365,28.5383355
"543",-94.6858998,46.729553
"544",-87.6297982,41.8781136
"545",-83.6949176,36.76203
"546",-90.0715323,29.9510658
"547",-92.6238082,44.8613563
"548",-99.9018131,31.9685988
"549",-99.9018131,31.9685988
"550",-77.1945247,41.2033216
"551",-77.1945247,41.2033216
"552",-80.4139393,37.2295733
"553",-86.8103567,33.5185892
"554",-95.4560512,30.3118769
"555",-90.0715323,29.9510658
"556",-84.3879824,33.7489954
"557",-84.2700179,37.8393332
"558",-106.2074793,31.6926121
"559",-106.2074793,31.6926121
"560",-73.6742323,40.7422572
"561",-117.5757622,47.4873895
"562",-80.9928068,37.7102092
"563",NA,NA
"564",-99.9018131,31.9685988
"565",-99.9018131,31.9685988
"566",-71.0588801,42.3600825
"567",-118.1937395,33.7700504
"568",-74.4056612,40.0583238
"569",-92.4421011,35.0886963
"570",-91.1871466,30.4514677
"571",133.775136,-25.274398
"572",133.775136,-25.274398
"573",-75.1652215,39.9525839
"574",-97.3307658,32.7554883
"575",-90.7592968,43.4494204
"576",-117.8311428,33.7174708
"577",-99.9018131,31.9685988
"578",-76.3482931,39.5359406
"579",-106.346771,56.130366
"580",-106.346771,56.130366
"581",-122.9365835,45.5200114
"582",-122.4194155,37.7749295
"583",-96.5675136,35.5078486
"584",-99.9018131,31.9685988
"585",-122.4442906,47.2528768
"586",-75.977985,36.8529263
"587",-77.0909809,38.8816208
"588",-77.0368707,38.9071923
"589",-77.0368707,38.9071923
"590",-77.0368707,38.9071923
"591",-77.0368707,38.9071923
"592",-77.0368707,38.9071923
"593",-77.0368707,38.9071923
"594",-77.0368707,38.9071923
"595",-77.0368707,38.9071923
"596",-77.0368707,38.9071923
"597",-77.0368707,38.9071923
"598",-77.0368707,38.9071923
"599",-77.0368707,38.9071923
"600",-73.087749,41.6032207
"601",-97.092877,35.0077519
"602",-77.1945247,41.2033216
"603",-71.3824374,42.4072107
"604",-95.4335909,29.6141508
"605",-93.2650108,44.977753
"606",-111.0937311,39.3209801
"607",-95.712891,37.09024
"608",-100.920999,37.0430812
"609",-81.2264646,35.1112478
"610",18.643501,60.128161
"611",-119.4179324,36.778261
"612",-97.7430608,30.267153
"613",-75.5276699,38.9108325
"614",-90.0715323,29.9510658
"615",-90.0715323,29.9510658
"616",-84.2807329,30.4382559
"617",-84.2700179,37.8393332
"618",NA,NA
"619",-70.7625532,43.0717552
"620",-70.7625532,43.0717552
"621",-119.4179324,36.778261
"622",-119.4179324,36.778261
"623",-95.3756344,29.740795
"624",-74.0059728,40.7127753
"625",-73.8648268,40.8447819
"626",-84.3879824,33.7489954
"627",-119.4179324,36.778261
"628",-119.4179324,36.778261
"629",-119.4179324,36.778261
"630",-119.4179324,36.778261
"631",-119.4179324,36.778261
"632",-119.4179324,36.778261
"633",-119.4179324,36.778261
"634",-119.4179324,36.778261
"635",-119.4179324,36.778261
"636",-119.4179324,36.778261
