"","long","lat"
"556",-94.5889,39.0061
"557",-106.824,39.1923
"558",-84.4217365,38.9973418
"559",-81.61790702,30.27334607
"560",-88.3157,36.6095
"561",-81.95134,28.074186
"562",-75.87012222,42.94662194
"563",-96.7977,32.7774
"564",-73.972216,40.77274259
"565",-122.549587,45.53316
"566",-77.9121,34.2232
"567",-94.69146,39.24416
"568",-95.54584566,29.8860378
"569",-89.39603,43.07552
"570",-75.5516,39.7486
"571",-112.26599475,33.50762895
"572",-83.05223627,42.33748951
"573",-97.38831,32.70884
"574",-75.2437977,39.87458299
"575",-76.32138629,38.99002934
"576",-82.7372,42.6857
"577",-76.888268,40.268145
"578",-86.5597,41.9416
"579",-76.0668,38.76421
"580",-74.0064,40.7142
"581",-97.70056224,30.21595455
"582",-82.48077,27.94454
"583",-122.651079,45.495421
"584",-122.657589,45.568126
"585",-122.742451,45.589819
"586",-122.559703,45.527393
"587",-122.685897,45.536583
"588",-122.681687,45.467259
"589",-122.4902,45.515326
"590",-122.61319,45.566185
"591",-122.641647,45.523097
"592",-122.548966,45.53316
"593",-122.692775,45.522102
"594",-122.64075,45.502103
"595",-122.619785,45.535289
"596",-122.594892,45.504263
"597",-122.747925,45.588801
"598",-122.640271,45.527798
"599",-122.558162,45.573063
"600",-122.578892,45.483159
"601",-122.730232,45.438018
"602",-122.677107,45.525333
"603",-122.622249,45.496984
"604",-122.733254,45.502435
"605",-122.677407,45.518392
"606",-122.529491,45.476506
"607",-122.66101,45.561851
"608",-122.559568,45.482571
"609",-122.554816,45.522449
"610",-122.520601,45.524129
"611",-122.642447,45.503108
"612",-122.510599,45.504222
"613",-122.690285,45.539303
"614",-122.653506,45.532582
"615",-122.683275,45.525159
"616",-122.604866,45.562705
"617",-122.686987,45.523225
"618",-122.673263,45.524229
"619",-122.69733,45.53349
"620",-122.613176,45.516946
"621",-122.4902,45.515326
"622",-122.628209,45.512882
"623",-122.570206,45.466901
"624",-105.1425949,39.7578902
"625",-118.15007,34.14731
"626",-117.14183664,32.7548942
"627",-116.96237221,33.9704876
"628",-74.03316296,40.71475295
"629",-114.848,47.1641
"630",-97.34022106,37.68475271
"631",-94.21698777,36.37492249
"632",-95.3694,29.7602
"633",-101.72863045,34.18712097
"634",-122.678249,45.518237
"635",-82.93154,40.12577
"636",-83.74967436,42.28041891
"637",-86.6722,36.06
"638",-91.0561,41.424
"639",-96.78039959,32.79477411
"640",-77.09698,38.99119
"641",-118.49227,34.01158
"642",-71.1036606,42.3883514
"643",-92.07217182,32.52912449
"644",-75.58024548,39.96027451
"645",-97.762286,30.25632
"646",-77.55939115,37.53972102
"647",-76.61743,39.31892
"648",-93.4055,44.9267
"649",-86.78388889,36.165
"650",-81.45034,41.6429
"651",-73.38418,43.02814
"652",-73.38418,43.02814
"653",-98.49422,29.42913
"654",-79.17909,37.35028
"655",-80.24675,25.75045
"656",-73.9862681,40.755599
"657",-81.37597954,40.802618
"658",-75.66507,41.41117
"659",-74.00485466,40.71939502
"660",-84.5897496,33.6693568
"661",-96.6767,40.8115
"662",-96.6767,40.8115
"663",-122.31416667,47.60166667
"664",-121.283,38.5987
"665",-83.1506,42.5046
"666",-83.047908,42.330806
"667",-81.52111111,41.09305556
"668",-95.34774,29.9872
"669",-97.56318569,35.54718978
"670",-93.2689285,44.9757004
"671",-95.52101,29.78945
"672",-90.25503,38.72325
"673",-117.85047054,33.77907599
"674",-118.506,34.4166
"675",-94.14461459,36.18173218
"676",-93.7361,41.6364
"677",-95.63740954,36.27718639
"678",-70.45191945,41.73769145
"679",-100.77934,46.80536
"680",-96.70331676,33.06323426
"681",-117.24743233,32.74163935
"682",-81.55650496,28.33774294
"683",-93.20944444,37.02722222
"684",-76.7466965,39.3154411
"685",-73.0369,41.5583
"686",-79.06433,43.10664
"687",-76.88746222,42.40752309
"688",-97.1932,33.0005
"689",-85.66509541,30.18758221
"690",-81.30775452,28.43035481
"691",-85.7052474,33.15264646
"692",-87.63588487,41.87876823
"693",-82.293251,27.9344444
"694",-98.87194444,30.27416667
"695",-115.17144575,36.11621692
"696",-94.58514,39.04638
"697",-97.1303711,31.5506001
"698",-83.4153,41.1592
"699",-104.9229658,37.8326651
"700",-118.35412645,34.13831062
"701",-77.4564,37.5811
"702",-88.1136,43.0605
